Caption,Image Link 1,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image URLs,Likes,Media Count,Number of Comments,Post Owner
"Our Soleil Fringe Short Sleeve Shirt is inspired by an embroidered tablecloth circa 1950s-1960s. It features a sunburst motif in marigold stem-stitch embroidery with fringe accenting the hem. Available in short and long sleeves, as well as trousers and shorts. Online and in our New York and Los Angeles shops.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3164296789502857101_17952249.jpg,,,,,,,2922,1,17,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3162861392499727062_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3162861392331894618_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3162861392323640872_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3162861392315241234_17952249.jpg,,,,4557,4,15,bode
"Our embroidered laundry bags, designed to aid in sorting light and dark colored garments, and further sort by specialty machine wash, or dry clean only, helping to extend the life of your pieces. Available online and in stores in three embroideries in two colors. Additional units available by phone order through our New York and Los Angeles shops.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3162117776625800780_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3162117776550284074_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3162117776550270997_17952249.jpg,,,,,5544,3,17,bode
"Our Garden State Shirt is inspired by a midcentury novelty tablecloth, produced as a souvenir during the post-war tourism boom. This historical reproduction features printed illustrations of New Jersey landmarks, activities, and motifs. Available in long sleeve or short sleeve, online and in stores.

By the early 1930s, the Great Depression had devastated the tourist trade in the United States. As a result, regional entrepreneurs began aggressively advertising roadside tourist attractions and developed new novelty products to sell as souvenirs. Barth & Dreyfuss dominated the market for souvenir linens from the 1930s-1950s, manufacturing colorful maps with regional motifs on canvas burlap known as “cactus cloth”.

Following World War II, the tourism industry grew rapidly. Interstate highways were improved and the U.S. economy was prosperous. An increasing number of American households owned automobiles allowing families to travel freely. The development of motor courts, motels, national parks, resorts, and theme parks resulted in myriad vending locations from which colorful souvenirs could be marketed and sold.

Souvenir tablecloths reached peak popularity during the late-1940s and early-1950s. Many of these textiles were state-themed, though some designs were centered around specific tourist destinations or major metropolitan cities.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3161342663877130614_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3161342663860194485_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3161342663843590151_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3161342663843427303_17952249.jpg,,,,4954,4,12,bode
"Our Voile Roberto Shirt is based on the silhouette of a midcentury workwear overshirt. Here, we have reimagined it in a semi-sheer cotton voile. Available in white or midnight blue, online and in stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3159234843070267451_17952249.jpg,,,,,,,1297,1,6,bode
"@harrystyles wearing custom Bode in the music video for Daylight. The jumpsuit is made from a deadstock black floral jacquard. It features oversized ivory satin bows and a silhouette inspired by a children’s costume, circa 1920s. Styled by Harry Lambert.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3156996096324611039_17952249.jpg,,,,,,,19149,1,63,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3155610479997242397_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3155610479829662100_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3155610479829591217_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3155610479821128929_17952249.jpg,,,,3628,4,7,bode
Our Petit Motifs Pajama set is inspired by a 1940s bed linen with grosgrain appliqué trim. The micro floral motif is printed in navy and crimson on a cream ground. This historical reproduction features a traditional pajama silhouette that may be worn as loungewear or outside of the home. Available at our NYC and LA stores or bode.com.,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3154885843944946288_17952249.jpg,,,,,,,1563,1,5,bode
"Our Nouveau Monstera Overshirt is inspired by an antique jacquard domestic textile. It features a textural, woven floral motif in shades of coral and cream. Available online and in our New York and Los Angeles shops.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3154061801905909934_17952249.jpg,,,,,,,6076,1,24,bode
"Details of a spindle post on a Shaker wool wheel from Hancock Shaker Village. From Shaker Textile Arts by Beverly Gordon.

“The Commercialization of Shaker Knits” is on view at Kinderhook Knitting Mill Thursdays-Saturdays 10am-6pm, and Sundays 11am-4pm through September 10th. 8 Hudson Street, Kinderhook, NY.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3150457997473895313_17952249.jpg,,,,,,,498,1,3,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3149703768853530165_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3149703768769781836_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3149703768761225623_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3149703768752943660_17952249.jpg,,,,4956,4,12,bode
"Our County Plaid Cardigan, Fish Tee, Standard Trousers, and Geo Poppy Long Sleeve Shirt. Available online and in stores.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3149045008590019586_17952249.jpg,,,,,,,5178,1,8,bode
"Bode SS24
The Crane Estate II",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3148369169305350920_17952249.jpg,,,,,,,2189,1,6,bode
"Our Moonflower Applique Shirt, in 100% cotton, is inspired by a 1950s tablecloth featuring cream flowers and a wide border. Available in short and long sleeve, in stores and online.",/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3148242085053175184_17952249.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/BODE IG Photos/3148242081169225983_17952249.jpg,,,,,,3241,2,5,bode
